,ticker,start_date,end_date
80,ACRE,2012-04-27 00:00:00-04:00,2024-06-07 00:00:00-04:00
81,ACRG,2008-03-07 00:00:00-05:00,2024-06-07 00:00:00-04:00
82,ACRS,2015-10-06 00:00:00-04:00,2024-06-07 00:00:00-04:00
83,ACRU,1996-04-04 00:00:00-05:00,2024-06-07 00:00:00-04:00
84,ACST,2012-02-07 00:00:00-05:00,2024-06-07 00:00:00-04:00
85,ACT,2021-09-16 00:00:00-04:00,2024-06-07 00:00:00-04:00
86,ACTG,2002-12-16 00:00:00-05:00,2024-06-07 00:00:00-04:00
87,ACTX,2000-01-03 00:00:00-05:00,2024-06-07 00:00:00-04:00
88,ACU,1980-03-17 00:00:00-05:00,2024-06-07 00:00:00-04:00
89,ACUR,1986-03-14 00:00:00-05:00,2024-06-07 00:00:00-04:00
90,ACUT,2022-03-03 00:00:00-05:00,2024-06-07 00:00:00-04:00
91,ACVA,2021-03-24 00:00:00-04:00,2024-06-07 00:00:00-04:00
92,ACXP,2021-06-25 00:00:00-04:00,2024-06-07 00:00:00-04:00
93,ADAD,2015-06-11 00:00:00-04:00,2024-06-07 00:00:00-04:00
94,ADAG,2021-02-09 00:00:00-05:00,2024-06-07 00:00:00-04:00
95,ADAP,2015-05-06 00:00:00-04:00,2024-06-07 00:00:00-04:00
96,ADBE,1986-08-13 00:00:00-04:00,2024-06-07 00:00:00-04:00
97,ADC,1994-04-15 00:00:00-04:00,2024-06-07 00:00:00-04:00
98,ADC-PA,2021-09-09 00:00:00-04:00,2024-06-07 00:00:00-04:00
99,ADCT,2020-05-18 00:00:00-04:00,2024-06-07 00:00:00-04:00
100,ADGO,2001-01-30 00:00:00-05:00,2024-06-07 00:00:00-04:00
101,ADI,1980-03-17 00:00:00-05:00,2024-06-07 00:00:00-04:00
102,ADM,1980-03-17 00:00:00-05:00,2024-06-07 00:00:00-04:00
103,ADMA,2013-10-17 00:00:00-04:00,2024-06-07 00:00:00-04:00
104,ADMG,2014-09-04 00:00:00-04:00,2024-06-07 00:00:00-04:00
105,ADMQ,2020-02-05 00:00:00-05:00,2024-06-07 00:00:00-04:00
106,ADMT,1990-07-19 00:00:00-04:00,2024-06-07 00:00:00-04:00
107,ADNT,2016-10-17 00:00:00-04:00,2024-06-07 00:00:00-04:00
108,ADP,1980-03-17 00:00:00-05:00,2024-06-07 00:00:00-04:00
109,ADPT,2019-06-27 00:00:00-04:00,2024-06-07 00:00:00-04:00
110,ADRT,2022-02-09 00:00:00-05:00,2024-06-07 00:00:00-04:00
111,ADSK,1985-06-28 00:00:00-04:00,2024-06-07 00:00:00-04:00
112,ADT,2018-01-19 00:00:00-05:00,2024-06-07 00:00:00-04:00
113,ADTN,1994-08-10 00:00:00-04:00,2024-06-07 00:00:00-04:00
114,ADTTF,2009-02-13 00:00:00-05:00,2024-06-07 00:00:00-04:00
115,ADTX,2020-06-30 00:00:00-04:00,2024-06-07 00:00:00-04:00
